dataset_name,fraction,num_providers,type_partition,num_objects,num_attributes,density,context_sensitivity,threshold,global_stability,Runtime,CPU_Usage,RAM_Usage,RAM_Used
dataset_200_10_4_IID,0.75,10,IID,200,10,0.4,0.6,0.0,0.6294995098039216,605.5184805393219,0.0,13.4,1.3809967041015625
dataset_200_10_4_IID,0.75,10,IID,200,10,0.4,0.7000000000000001,0.0,0.6599032904641561,605.6427960395813,0.0,13.4,1.3809852600097656
dataset_200_10_4_IID,0.75,10,IID,200,10,0.4,0.8,0.0,0.7589312680435265,605.7664158344269,4.75,13.4,1.3809680938720703
dataset_200_10_4_IID,0.75,10,IID,200,10,0.4,0.9,0.0,0.7271979640831976,605.8887028694153,4.55,13.4,1.3809547424316406
dataset_200_10_4_IID,0.75,10,IID,200,10,0.4,0.1,0.5,0.9105714285714287,606.0125255584717,5.25,13.4,1.3809432983398438
dataset_200_10_4_IID,0.75,10,IID,200,10,0.4,0.2,0.5,0.8168571428571428,606.1397280693054,0.0,13.4,1.3809280395507812
dataset_200_10_4_IID,0.75,10,IID,200,10,0.4,0.30000000000000004,0.5,0.8874000000000001,606.2585942745209,2.5,13.4,1.3809146881103516
dataset_200_10_4_IID,0.75,10,IID,200,10,0.4,0.4,0.5,0.9285714285714286,606.3774461746216,4.55,13.4,1.3808879852294922
dataset_200_10_4_IID,0.75,10,IID,200,10,0.4,0.5,0.5,0.7821180555555556,606.4969007968903,5.0,13.4,1.3808879852294922
dataset_200_10_4_IID,0.75,10,IID,200,10,0.4,0.6,0.5,0.9097222222222223,606.6167328357697,0.0,13.4,1.3808879852294922
dataset_200_10_4_IID,0.75,10,IID,200,10,0.4,0.7000000000000001,0.5,0.8946938775510205,606.7361779212952,0.0,13.4,1.3808879852294922
dataset_200_10_4_IID,0.75,10,IID,200,10,0.4,0.8,0.5,0.7014464285714286,606.8558843135834,2.4,13.4,1.3808879852294922
dataset_200_10_4_IID,0.75,10,IID,200,10,0.4,0.9,0.5,0.8874000000000001,606.9758222103119,5.0,13.4,1.3808250427246094
dataset_200_10_4_IID,0.75,10,IID,200,10,0.4,0.1,0.8,0.9843333333333334,607.0950951576233,5.0,13.4,1.3808250427246094
dataset_200_10_4_IID,0.75,10,IID,200,10,0.4,0.2,0.8,0.9731428571428572,607.2134320735931,2.5,13.4,1.3808250427246094
dataset_200_10_4_IID,0.75,10,IID,200,10,0.4,0.30000000000000004,0.8,0.953,607.3330678939819,0.0,13.4,1.3808250427246094
dataset_200_10_4_IID,0.75,10,IID,200,10,0.4,0.4,0.8,0.875,607.4539983272552,4.75,13.4,1.3807735443115234
dataset_200_10_4_IID,0.75,10,IID,200,10,0.4,0.5,0.8,1.0,607.5877170562744,2.5,13.4,1.3807621002197266
dataset_200_10_4_IID,0.75,10,IID,200,10,0.4,0.6,0.8,0.9624,607.7074592113495,2.4,13.4,1.3807487487792969
dataset_200_10_4_IID,0.75,10,IID,200,10,0.4,0.7000000000000001,0.8,0.8996944444444445,607.825779914856,2.4,13.4,1.3807353973388672
dataset_200_10_4_IID,0.75,10,IID,200,10,0.4,0.8,0.8,1.0,607.9441742897034,2.5,13.4,1.3807220458984375
dataset_200_10_4_IID,0.75,10,IID,200,10,0.4,0.9,0.8,1.0,608.0640954971313,11.9,13.4,1.3807086944580078
dataset_200_10_6_IID,0.5,10,IID,200,10,0.6,0.1,0.0,0.6950731879165466,608.1862645149231,2.5,13.4,1.3806953430175781
dataset_200_10_6_IID,0.5,10,IID,200,10,0.6,0.2,0.0,0.610888445253875,608.307377576828,0.0,13.4,1.3806781768798828
dataset_200_10_6_IID,0.5,10,IID,200,10,0.6,0.30000000000000004,0.0,0.7211360087283858,608.4271001815796,2.5,13.4,1.380655288696289
dataset_200_10_6_IID,0.5,10,IID,200,10,0.6,0.4,0.0,0.6365273778083752,608.5466332435608,2.65,13.4,1.3806533813476562
